aX,aY,aZ,gX,gY,gZ
-1.633,-0.417,-1.884,-113.740,-87.908,149.206
-1.627,-0.516,-1.880,-68.550,-80.443,135.160
-1.611,-0.552,-1.840,-22.305,-74.504,118.275
-1.607,-0.655,-1.804,28.870,-71.786,94.687
-1.564,-0.671,-1.680,81.069,-72.595,68.519
-1.529,-0.613,-1.577,129.634,-71.969,38.718
-1.447,-0.489,-1.435,177.450,-71.588,4.443
-1.378,-0.319,-1.282,215.817,-72.992,-26.153
-1.312,-0.143,-1.192,247.466,-72.595,-54.015
-1.260,0.041,-1.106,269.313,-68.931,-75.328
-1.176,0.227,-1.031,280.427,-63.481,-90.733
-1.110,0.396,-0.964,282.947,-57.405,-102.275
-1.034,0.551,-0.917,277.344,-50.779,-110.534
-0.956,0.692,-0.917,265.176,-42.916,-115.420
-0.883,0.819,-0.920,248.366,-34.519,-117.405
-0.818,0.911,-0.930,228.794,-26.061,-117.038
-0.733,0.990,-0.961,208.519,-14.977,-114.260
-0.666,1.039,-0.993,188.336,-4.351,-109.374
-0.624,1.059,-0.998,170.412,4.489,-103.084
-0.584,1.071,-1.028,154.519,12.153,-95.267
-0.570,1.051,-1.050,140.916,18.809,-87.008
-0.547,0.996,-1.050,131.496,23.328,-77.267
-0.536,0.949,-1.067,125.802,26.366,-67.053
-0.509,0.881,-1.049,124.412,27.664,-57.725
-0.488,0.836,-1.035,126.473,27.603,-48.962
-0.487,0.779,-1.031,131.160,24.855,-43.160
-0.484,0.692,-1.043,138.992,18.260,-39.496
-0.481,0.592,-1.043,149.069,8.977,-38.901
-0.466,0.498,-1.063,161.206,-2.763,-39.252
-0.440,0.433,-1.066,175.679,-14.626,-41.115
-0.402,0.370,-1.088,193.359,-27.053,-43.389
-0.372,0.320,-1.111,211.893,-38.168,-46.092
-0.333,0.280,-1.132,232.122,-48.489,-48.137
-0.295,0.263,-1.165,253.634,-58.183,-48.779
-0.269,0.256,-1.203,274.321,-66.198,-48.000
-0.233,0.243,-1.234,293.756,-72.580,-45.710
-0.218,0.208,-1.241,310.504,-77.817,-42.641
-0.200,0.165,-1.233,324.672,-82.122,-39.252
-0.184,0.116,-1.231,335.618,-84.443,-35.710
-0.165,0.070,-1.220,343.008,-85.634,-32.443
-0.128,0.016,-1.217,347.252,-86.000,-30.702
-0.094,-0.034,-1.179,348.947,-85.420,-30.336
-0.075,-0.089,-1.130,348.504,-83.252,-32.229
-0.072,-0.159,-1.067,346.962,-80.473,-35.832
-0.074,-0.227,-1.022,344.962,-77.756,-40.809
-0.074,-0.288,-0.979,342.824,-75.130,-45.954
-0.066,-0.317,-0.942,340.382,-72.473,-50.824
-0.068,-0.353,-0.903,337.359,-69.954,-55.099
-0.067,-0.365,-0.873,333.939,-67.863,-57.725
-0.064,-0.384,-0.847,330.794,-65.985,-58.687
-0.062,-0.409,-0.823,328.824,-64.962,-58.366
-0.062,-0.435,-0.789,328.458,-64.763,-57.038
-0.084,-0.463,-0.768,329.557,-65.756,-55.176
-0.109,-0.500,-0.715,331.053,-67.664,-54.183
-0.153,-0.563,-0.684,333.267,-71.527,-54.214
-0.179,-0.640,-0.662,336.595,-77.756,-55.450
-0.190,-0.708,-0.662,341.420,-87.176,-57.756
-0.201,-0.770,-0.634,348.962,-98.489,-60.153
-0.209,-0.821,-0.614,358.870,-110.351,-63.160
-0.204,-0.844,-0.601,371.649,-123.008,-66.931
-0.196,-0.853,-0.578,386.473,-135.924,-70.931
-0.166,-0.846,-0.563,401.221,-149.130,-75.160
-0.129,-0.825,-0.546,415.435,-161.893,-78.916
-0.090,-0.800,-0.516,426.427,-171.725,-81.023
-0.016,-0.767,-0.487,433.756,-178.336,-82.015
0.029,-0.753,-0.453,436.885,-182.427,-81.863
0.079,-0.723,-0.425,435.557,-183.786,-80.733
0.110,-0.718,-0.394,430.718,-183.450,-79.176
0.141,-0.710,-0.365,422.626,-181.527,-76.885
0.147,-0.710,-0.343,411.908,-178.840,-74.214
0.148,-0.728,-0.313,399.069,-174.733,-72.046
0.149,-0.751,-0.310,384.031,-170.092,-70.427
0.152,-0.784,-0.304,367.924,-165.084,-69.420
0.147,-0.814,-0.309,352.076,-159.878,-69.374
0.153,-0.847,-0.320,336.305,-153.954,-69.832
0.162,-0.886,-0.312,321.328,-148.061,-71.099

-0.917,1.231,-0.879,-398.855,39.557,30.489
-0.952,1.247,-0.885,-398.687,38.931,31.145
-0.983,1.269,-0.889,-398.580,38.458,31.847
-1.016,1.293,-0.891,-398.397,37.878,32.702
-1.094,1.333,-0.912,-397.359,34.840,35.710
-1.208,1.382,-0.922,-396.321,30.733,40.397
-1.336,1.449,-0.933,-395.954,25.603,45.908
-1.462,1.499,-0.924,-396.550,19.649,52.214
-1.535,1.519,-0.921,-397.557,13.511,59.985
-1.620,1.549,-0.913,-398.992,5.802,69.893
-1.708,1.561,-0.903,-401.557,-2.824,81.221
-1.793,1.569,-0.886,-404.183,-11.160,93.863
-1.891,1.557,-0.888,-407.038,-19.542,109.221
-1.983,1.533,-0.907,-410.687,-28.519,124.840
-2.000,1.502,-0.893,-415.130,-36.641,139.053
-2.000,1.453,-0.935,-421.527,-44.366,152.870
-2.000,1.401,-1.016,-429.817,-49.466,164.962
-2.000,1.320,-1.134,-439.511,-51.145,177.115
-2.000,1.198,-1.263,-450.351,-50.595,188.427
-2.000,1.106,-1.370,-462.947,-50.611,198.153
-1.926,1.016,-1.505,-476.504,-49.954,205.130
-1.819,0.928,-1.704,-489.221,-49.176,210.763
-1.698,0.803,-1.936,-500.076,-48.901,215.115
-1.591,0.627,-2.000,-500.275,-50.550,218.962
-1.523,0.415,-2.000,-500.275,-56.275,221.313
-1.479,0.141,-2.000,-494.168,-65.405,222.183
-1.478,-0.140,-2.000,-465.374,-77.557,220.763
-1.477,-0.416,-2.000,-411.023,-91.084,216.260
-1.457,-0.531,-2.000,-333.237,-100.473,205.420
-1.382,-0.735,-2.000,-224.107,-100.977,181.069
-1.262,-1.010,-2.000,-92.748,-98.580,152.763
-1.213,-1.185,-2.000,46.550,-95.298,120.275
-1.206,-1.254,-1.864,181.664,-99.863,84.214
-1.257,-1.023,-1.686,302.840,-108.840,40.336
-1.310,-0.792,-1.491,405.496,-125.863,-10.244
-1.375,-0.558,-1.272,486.046,-150.290,-64.321
-1.359,-0.324,-1.116,500.260,-169.053,-110.748
-1.336,-0.031,-0.951,500.260,-184.397,-153.527
-1.269,0.288,-0.833,500.260,-192.076,-189.893
-1.134,0.606,-0.833,500.260,-192.763,-218.794
-0.990,0.898,-0.812,500.260,-187.237,-238.992
-0.821,1.074,-0.846,500.260,-176.198,-248.565
-0.599,1.379,-0.951,500.260,-159.527,-247.298
-0.429,1.571,-1.031,500.260,-134.656,-235.847
-0.284,1.738,-1.070,500.260,-100.046,-216.229
-0.162,1.783,-1.146,496.992,-68.183,-191.573
-0.071,1.754,-1.173,452.916,-39.282,-164.580
0.001,1.671,-1.189,406.489,-15.389,-136.702
0.058,1.598,-1.120,359.466,5.298,-111.023
0.081,1.559,-1.043,313.466,25.191,-89.771
0.069,1.505,-0.948,269.160,40.977,-72.443
0.016,1.414,-0.874,229.176,50.412,-60.733
-0.059,1.292,-0.810,197.038,54.397,-53.496
-0.107,1.157,-0.786,171.908,53.405,-48.519
-0.212,0.954,-0.794,158.595,42.595,-44.550
-0.281,0.760,-0.815,155.573,24.855,-39.710
-0.337,0.634,-0.816,161.237,5.237,-33.939
-0.354,0.505,-0.813,173.557,-9.786,-27.527
-0.385,0.405,-0.811,193.191,-25.450,-19.191
-0.419,0.267,-0.863,218.412,-42.290,-9.756
-0.460,0.140,-0.907,246.336,-58.962,-0.809
-0.512,0.015,-0.942,277.344,-74.687,8.260
-0.558,-0.075,-0.979,307.847,-91.008,14.931
-0.596,-0.123,-1.015,336.885,-108.977,18.137
-0.614,-0.172,-1.031,363.832,-130.412,17.038
-0.655,-0.209,-1.015,386.000,-147.603,10.870
-0.588,-0.266,-1.059,405.130,-162.626,2.656
-0.531,-0.316,-1.019,418.351,-171.344,-4.260
-0.526,-0.383,-1.038,426.305,-176.473,-12.687
-0.493,-0.420,-1.024,429.863,-177.878,-21.634
-0.460,-0.456,-0.976,428.809,-173.679,-30.779
-0.449,-0.480,-0.955,423.786,-165.786,-38.626
-0.453,-0.513,-0.931,417.191,-156.580,-45.038
-0.461,-0.534,-0.898,409.038,-146.794,-50.137
-0.481,-0.555,-0.875,401.115,-137.817,-54.275
-0.491,-0.573,-0.837,392.962,-130.611,-58.122
-0.486,-0.596,-0.801,385.282,-127.130,-61.145
-0.478,-0.600,-0.747,377.298,-123.618,-63.527
-0.469,-0.613,-0.722,370.107,-122.794,-65.313
-0.449,-0.627,-0.659,365.740,-125.389,-66.595
-0.415,-0.648,-0.599,364.244,-130.183,-67.649
-0.392,-0.675,-0.548,366.550,-136.168,-68.580
-0.379,-0.710,-0.494,371.634,-143.679,-68.214
-0.384,-0.753,-0.428,378.916,-154.061,-67.588
-0.412,-0.813,-0.390,386.336,-166.595,-66.901
-0.436,-0.857,-0.355,394.458,-182.275,-67.145
-0.415,-0.898,-0.345,401.267,-199.573,-68.366
-0.377,-0.909,-0.357,406.534,-217.710,-69.618
-0.325,-0.896,-0.365,409.466,-233.221,-70.947
-0.257,-0.879,-0.385,409.450,-243.237,-72.244
-0.177,-0.848,-0.411,406.519,-248.565,-74.229
-0.100,-0.813,-0.436,400.702,-248.076,-75.893
-0.035,-0.775,-0.453,391.817,-242.061,-77.420
0.025,-0.760,-0.468,379.405,-229.252,-78.244
0.080,-0.750,-0.466,364.107,-210.870,-78.351
0.109,-0.758,-0.443,345.924,-190.656,-79.069
0.150,-0.779,-0.427,324.046,-169.710,-80.702
0.200,-0.793,-0.392,300.076,-148.092,-83.160
0.232,-0.821,-0.344,274.489,-125.588,-85.847
0.227,-0.849,-0.274,249.130,-103.191,-88.260

-1.118,1.203,-0.721,-289.160,-8.092,10.260
-1.144,1.225,-0.732,-288.550,-8.473,11.298
-1.175,1.252,-0.746,-288.076,-8.748,12.275
-1.175,1.252,-0.746,-287.649,-8.931,13.206
-1.243,1.308,-0.763,-286.947,-10.275,17.847
-1.387,1.354,-0.748,-288.672,-12.489,25.115
-1.522,1.372,-0.757,-291.817,-14.794,31.908
-1.638,1.378,-0.770,-296.427,-17.710,39.802
-1.717,1.356,-0.790,-301.588,-20.672,49.160
-1.751,1.311,-0.802,-306.977,-23.237,59.344
