aX,aY,aZ,gX,gY,gZ
-0.501,0.667,0.461,-50.015,-146.916,-132.641
-0.501,0.750,0.372,-50.687,-134.947,-120.412
-0.518,0.843,0.275,-49.786,-124.427,-107.893
-0.533,0.927,0.168,-48.473,-114.595,-95.206
-0.526,0.984,0.071,-46.092,-106.733,-83.863
-0.521,1.042,-0.010,-43.679,-98.855,-71.496
-0.502,1.075,-0.071,-41.511,-91.573,-58.489
-0.486,1.093,-0.114,-39.069,-83.771,-43.878
-0.471,1.085,-0.151,-37.252,-76.214,-28.718
-0.461,1.083,-0.190,-35.771,-69.481,-12.076
-0.469,1.072,-0.220,-35.328,-62.947,4.794
-0.480,1.043,-0.231,-35.344,-57.527,21.542
-0.510,0.999,-0.262,-36.733,-51.740,37.908
-0.543,0.937,-0.248,-39.084,-46.137,52.763
-0.575,0.866,-0.280,-41.450,-40.718,65.725
-0.603,0.788,-0.274,-43.450,-35.664,76.244
-0.603,0.731,-0.289,-44.992,-30.290,85.527
-0.590,0.632,-0.297,-46.260,-24.244,93.008
-0.562,0.539,-0.281,-47.634,-16.962,99.511
-0.540,0.439,-0.291,-49.649,-9.130,104.947
-0.503,0.347,-0.300,-52.855,-0.244,108.901
-0.485,0.280,-0.295,-56.290,8.198,111.893
-0.467,0.187,-0.276,-59.908,16.458,113.389
-0.444,0.093,-0.265,-63.863,23.924,114.321
-0.423,-0.001,-0.248,-66.611,30.534,114.794
-0.413,-0.103,-0.231,-68.565,36.031,114.336
-0.405,-0.200,-0.206,-68.885,39.374,112.427
-0.391,-0.270,-0.197,-67.664,41.221,109.389
-0.363,-0.356,-0.182,-64.473,41.786,104.977
-0.327,-0.438,-0.167,-59.557,41.557,100.076
-0.278,-0.523,-0.157,-52.321,40.458,94.504
-0.214,-0.590,-0.143,-42.763,40.351,88.550
-0.146,-0.644,-0.122,-32.015,41.115,83.160
-0.074,-0.686,-0.100,-19.985,43.069,77.130
-0.032,-0.713,-0.082,-8.641,45.557,71.130
0.030,-0.741,-0.054,2.107,48.504,65.023
0.085,-0.759,-0.010,10.962,51.374,58.885

0.907,-1.263,0.846,229.908,-247.237,-74.702
0.930,-1.272,0.844,229.679,-247.954,-75.252
0.948,-1.274,0.858,229.328,-248.641,-75.817
0.948,-1.274,0.858,229.053,-249.237,-76.351
1.002,-1.308,0.872,228.031,-251.802,-77.786
1.093,-1.343,0.911,226.305,-254.687,-78.412
1.157,-1.370,0.948,224.305,-256.534,-77.740
1.214,-1.390,0.969,222.153,-259.557,-77.221
1.281,-1.406,1.004,220.443,-264.305,-77.023
1.353,-1.437,1.031,219.802,-269.771,-76.092
1.441,-1.452,1.084,220.214,-273.450,-74.580
1.529,-1.497,1.134,221.145,-275.603,-72.198
1.599,-1.556,1.182,222.824,-278.718,-68.855
1.659,-1.598,1.228,225.069,-282.641,-64.534
1.744,-1.651,1.300,227.817,-286.855,-59.649
1.818,-1.715,1.378,229.160,-291.313,-54.565
1.907,-1.790,1.451,229.252,-297.237,-49.160
1.972,-1.877,1.541,228.061,-305.496,-44.107
2.000,-1.973,1.637,224.748,-316.885,-39.328
2.000,-2.000,1.737,219.786,-330.702,-36.351
2.000,-2.000,1.811,212.733,-348.305,-34.962
1.959,-2.000,1.895,203.695,-369.893,-35.023
1.859,-2.000,1.936,191.618,-393.099,-37.221
1.792,-2.000,1.952,178.794,-419.405,-40.427
1.702,-2.000,1.960,164.397,-444.885,-45.405
1.610,-2.000,1.928,149.298,-466.473,-51.847
1.532,-2.000,1.871,133.160,-481.679,-60.305
1.471,-2.000,1.808,116.824,-488.870,-69.176
1.431,-2.000,1.738,100.916,-487.328,-78.763
1.403,-2.000,1.663,88.153,-478.901,-87.267
1.397,-2.000,1.626,76.534,-465.847,-95.038
1.364,-2.000,1.612,65.084,-448.947,-101.924
1.303,-2.000,1.621,52.885,-426.977,-110.397
1.240,-2.000,1.676,42.702,-401.221,-119.206
1.191,-2.000,1.774,36.702,-373.924,-129.649
1.144,-2.000,1.853,35.328,-349.282,-140.580
1.065,-1.924,1.934,37.725,-331.466,-149.664
0.945,-1.804,2.000,41.450,-320.275,-156.885
0.799,-1.678,2.000,45.313,-313.985,-162.947
0.651,-1.532,2.000,49.802,-311.847,-168.489
0.506,-1.406,2.000,55.908,-312.870,-173.237
0.408,-1.309,2.000,62.565,-317.023,-176.733
0.277,-1.164,2.000,69.511,-323.725,-179.786
0.152,-1.011,2.000,75.847,-332.534,-181.695
0.024,-0.885,2.000,81.924,-340.947,-182.962
-0.086,-0.733,1.948,86.748,-349.160,-183.023
-0.199,-0.601,1.816,92.595,-355.603,-181.878
-0.222,-0.443,1.706,94.214,-357.466,-177.496
-0.259,-0.311,1.526,94.137,-355.710,-168.885
-0.319,-0.223,1.380,92.840,-347.282,-159.191
-0.368,-0.121,1.247,88.977,-330.840,-152.580
-0.396,-0.017,1.113,81.985,-307.221,-149.176
-0.410,0.082,1.012,69.863,-277.084,-148.687
-0.435,0.175,0.914,54.916,-245.221,-149.252
-0.466,0.243,0.842,37.481,-213.374,-151.573
-0.489,0.323,0.772,19.924,-181.603,-153.893
-0.510,0.422,0.752,5.344,-153.389,-155.206
-0.541,0.483,0.721,-5.023,-130.672,-154.244
-0.588,0.551,0.657,-9.328,-113.771,-151.130
-0.624,0.638,0.612,-7.878,-102.412,-144.824
-0.647,0.719,0.548,-2.122,-94.824,-137.435
-0.645,0.792,0.494,5.588,-88.733,-128.489
-0.614,0.871,0.443,13.664,-82.931,-117.176
-0.603,0.922,0.393,21.511,-77.130,-103.649
-0.604,0.997,0.318,27.359,-70.824,-87.771
-0.603,1.059,0.233,30.733,-63.756,-71.084
-0.596,1.104,0.173,30.641,-55.481,-53.374
-0.576,1.117,0.120,27.206,-45.939,-35.893
